Job Title,Salary Estimate,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary_estimate_split,salary_estimate_hourly,min_salary,max_salary,avg_salary,age,power_bi_yn,tableau_yn,python_yn,sql_yn,excel_yn,machine_learning_yn,job_simp,desc_len
Data Analyst,MYR 25K - MYR 91K (Employer est.),"Your work makes the difference between a user seeing a bus drive away or reaching it just in time. We feel a great sense of responsibility at Citymapper. Millions of users around the world trust our green app to be on time for work, a job interview or a date.
As one of our Data Analysts you will build the timetable data that powers the Citymapper app and help launch new cities. You'll use secret magic (and our internal tools) to transform often messy transit schedules into shiny and reliable user information whilst building, validating, and shipping data directly to users on a daily basis.
Working with our engineers to improve tools and automate tasks, you'll manage data in a range of cities across different formats.
This role is designed for contractors based in Malaysia.",Citymapper,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 25 -  91 ,0,25,91,58.0,-1,0,0,0,0,0,0,data analyst,783
DATA ANALYST,MYR 42K - MYR 60K (Employer est.),"Basic Background & Requirement:
Bachelor in Actuarial Science, Engineering, Science Studies, Economy Management.
Hire on Project Basis First.
*Interpret data, analyze results using statistical techniques and provide ongoing reports.
*Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.
*Acquire data from primary or secondary data sources from Operation Department or Marketing.",MyFundAction,-1.0,Shah Alam,-1,-1,-1,-1,-1,-1, 42 -  60 ,0,42,60,51.0,-1,0,0,0,0,0,0,data analyst,470
Industry Analyst,MYR 48K - MYR 65K (Employer est.),"This is a permanent work-from-home position.
Starting Salary
$960 - $1400/month (4k MYR - 5.8K MYR) depending on experience.
We have two industry sites, www.enfsolar.com and www.enfrecycling.com - focusing on the solar industry and recycling industry.
The sites are a database of all the companies and products in the solar and recycling industry that allows users to find suppliers and customers.
We started the company 16 years ago with our solar site, and for the past 15 years, it has been the most popular in the world (now with 3 million business users each year). We have offices in UK and China, but around half our staff are based in other countries around the world and work remotely from home.",ENF Solar Ltd.,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 48 -  65 ,0,48,65,56.5,-1,0,0,0,0,0,0,industry analyst,704
Data Migration Analyst,MYR 96K (Employer est.),"Requirements
· Must be Malaysian
Job Descriptions
· 6-months contract position
· Up to RM8000 PM
· Develop new GIS data design and structure
· Document the new GIS data design and structure
· Works closely with GIS developers in the apps team to support their need on the GIS spatial data technology domain",AMK Technology Sdn Bhd,4.2,Kuala Lumpur,201 to 500 Employees,2002,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable, 96 ,0,96,96,96.0,18,0,0,0,0,0,0,data migration analyst,306
Junior Data Analyst (Recent Graduate May be Considered),MYR 25K - MYR 38K (Employer est.),"Junior Data Scientist
PM101 Consulting Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia
The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.
Responsibilities
· Analyze raw data: assessing quality, cleansing, structuring for downstream processing
· Identify opportunities for leveraging company data to drive business solutions.",PM101 Consulting,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 25 -  38 ,0,25,38,31.5,-1,0,0,0,0,0,0,junior data analyst ,537
Data Analyst,MYR 36 - MYR 42 Per Hour(Employer est.),"DATA ANALYST
Minimum with 3 years full experience in data analyst and experience in data engineer.
Your new role
perform the analysis, running various mathematical calculations to determine how the data samples might best be applied to profit the business
conducts a verification/accuracy process of data and used this information to see impact on the business profits and business operations
acquires data from internal data sources and external data sources; build a system to maintain databases/data systems
conduct structured knowledge transfer activities for the identified client IT personnel and monthly report on the progress of these activities",Strato Solutions Sdn Bhd,-1.0,Kuala Lumpur,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable, 36 -  42 ,1,72,84,39.0,-1,0,0,0,0,0,0,data analyst,653
HR Analyst - (1-2 Years ) (Fresh Graduate From Similar Field is Applicable),MYR 37K - MYR 54K (Employer est.),"Hiring Human Resouce Analyst with Experience / Fresh Graduate with Relevant Studies !!!
At least 1- 2 years of experience with the role
Job Description:
Regional MasterData support - handle data processing and documentation for all SEA countries (SG, MY, ID, PH, TH, VN & SZ)
Maintain data accuracy in HR system (Aliwork MasterData)
Preparing Monthly HR tickets reporting and PC KPI reporting
Supporting the establishment of HR Shared Services
Perform Ad Hoc assignments and provide support in assigned projects",QuessGlobal (Malaysia) Sdn Bhd,3.6,Kuala Lumpur,10000+ Employees,2007,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD), 37 -  54 ,0,37,54,45.5,13,0,0,0,0,0,0,hr analyst ,511
Data Analyst,MYR 48K - MYR 96K (Employer est.),"Responsibilities
Build clear visualizations in the form of reports and dashboards to convey complicated data to non-technical audience
Develop and enhance data models to support the visualizations and analysis required
Communicate actionable insights with e-commerce clients that align with their strategic goals
Qualifications
Bachelor's degree in Computer Science, Statistics, Applied Mathematics or equivalent experience
2 - 5 years' Business Intelligence and Consulting experiences preferred",Flow Analytics Sdn Bhd,-1.0,Kuala Lumpur,-1,-1,-1,-1,-1,-1, 48 -  96 ,0,48,96,72.0,-1,0,0,0,0,0,0,data analyst,495
Data Analyst,MYR 84K - MYR 96K (Employer est.),"· Extract, analyze, interpret & identifying pattern in data from various tables
· Managing master data, including creation, updates, and deletion
· Generate reports from single or multiple systems
· Report the results of analysis to the relevant team members
· Supporting initiatives for data integrity and normalization
· Assess the quality of data and filter/clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
· Perform initial analysis to work with Project Manager and delivery team to develop Data Management solution",SVI TECHNOLOGIES SDN BHD,3.5,Kuala Lumpur,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,$1 to $5 million (USD), 84 -  96 ,0,84,96,90.0,5,0,0,0,0,0,0,data analyst,586
Data Analyst,MYR 36K - MYR 42K (Employer est.),"data analyst collects and stores data on sales numbers, market research, logistics, linguistics, or other behaviors. They bring technical expertise to ensure the quality and accuracy of that data, then process, design, and present it in ways to help people, businesses, and organizations make better decisions.
Founded in 1999, SG Academy is a dynamic training skills academy with one of the widest ranges of Malaysian Skills Diploma and International Technical Education and Vocational Training Program (INVITE) accreditation among Malaysian private Training establishments. The skills academy operates from 4 branches from the financial capital of Malaysia to the southern peninsula. We train individuals for employment in various industries. Our courses aim to develop students skills and knowledge while also addressing identified needs within industry.
Diploma / Advanced Diploma / Higher Graduate Diploma / DVM / DKM Level 4 / DLKM Level 5",SG AKADEMI (M) SDN BHD,-1.0,Kuala Lumpur,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable, 36 -  42 ,0,36,42,39.0,-1,0,0,0,0,0,0,data analyst,945
