Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,MYR 25K - MYR 91K (Employer est.),Data Analyst,"Your work makes the difference between a user seeing a bus drive away or reaching it just in time. We feel a great sense of responsibility at Citymapper. Millions of users around the world trust our green app to be on time for work, a job interview or a date.
As one of our Data Analysts you will build the timetable data that powers the Citymapper app and help launch new cities. You'll use secret magic (and our internal tools) to transform often messy transit schedules into shiny and reliable user information whilst building, validating, and shipping data directly to users on a daily basis.
Working with our engineers to improve tools and automate tasks, you'll manage data in a range of cities across different formats.
This role is designed for contractors based in Malaysia.",Citymapper,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
Data Analyst Intern,-1,Data Analyst,"Funding Societies | Modalku is the largest SME digital financing platform in Southeast Asia. We are licensed in Singapore, Indonesia, Thailand, and registered in Malaysia. We are backed by Sequoia India and Softbank Ventures Asia Corp amongst many others and provides business financing to small and medium-sized enterprises (SMEs), which is crowdfunded by individual and institutional investors.
As a Data Analyst, your role is to understand the needs of the business and use data to derive a solution that you will then present, implement, and track. In addition to having a knack for problem-solving, it is absolutely crucial that you are willing to learn, understand, and hear the needs of our people. In a small team, you will be working regionally on various products.
At Funding Societies, we pride ourselves on solving challenging problems and focusing on impact. The work you do will help raise visibility in the business and enable data-driven decision making. As a team, we are excited about translating findings into actionable insights, seeing that drive change in our organisation and ultimately bringing value to our customers.
If you enjoy seeing your work drives impact and appreciate a fun working environment, this is the place for you.",Funding Societies,3.7,Kuala Lumpur,201 to 500 Employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable
DATA ANALYST,MYR 42K - MYR 60K (Employer est.),Data Analyst,"Basic Background & Requirement:
Bachelor in Actuarial Science, Engineering, Science Studies, Economy Management.
Hire on Project Basis First.
*Interpret data, analyze results using statistical techniques and provide ongoing reports.
*Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.
*Acquire data from primary or secondary data sources from Operation Department or Marketing.",MyFundAction,-1,Shah Alam,-1,-1,-1,-1,-1,-1
Industry Analyst,MYR 48K - MYR 65K (Employer est.),Analyst,"This is a permanent work-from-home position.
Starting Salary
$960 - $1400/month (4k MYR - 5.8K MYR) depending on experience.
We have two industry sites, www.enfsolar.com and www.enfrecycling.com - focusing on the solar industry and recycling industry.
The sites are a database of all the companies and products in the solar and recycling industry that allows users to find suppliers and customers.
We started the company 16 years ago with our solar site, and for the past 15 years, it has been the most popular in the world (now with 3 million business users each year). We have offices in UK and China, but around half our staff are based in other countries around the world and work remotely from home.",ENF Solar Ltd.,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
Data Migration Analyst,MYR 96K (Employer est.),Data Analyst,"Requirements
· Must be Malaysian
Job Descriptions
· 6-months contract position
· Up to RM8000 PM
· Develop new GIS data design and structure
· Document the new GIS data design and structure
· Works closely with GIS developers in the apps team to support their need on the GIS spatial data technology domain",AMK Technology Sdn Bhd,4.2,Kuala Lumpur,201 to 500 Employees,2002,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Junior Data Analyst (Recent Graduate May be Considered),MYR 25K - MYR 38K (Employer est.),Data Analyst,"Junior Data Scientist
PM101 Consulting Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia
The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.
Responsibilities
· Analyze raw data: assessing quality, cleansing, structuring for downstream processing
· Identify opportunities for leveraging company data to drive business solutions.",PM101 Consulting,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
Data Analyst,MYR 36 - MYR 42 Per Hour(Employer est.),Data Analyst,"DATA ANALYST
Minimum with 3 years full experience in data analyst and experience in data engineer.
Your new role
perform the analysis, running various mathematical calculations to determine how the data samples might best be applied to profit the business
conducts a verification/accuracy process of data and used this information to see impact on the business profits and business operations
acquires data from internal data sources and external data sources; build a system to maintain databases/data systems
conduct structured knowledge transfer activities for the identified client IT personnel and monthly report on the progress of these activities",Strato Solutions Sdn Bhd,-1,Kuala Lumpur,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
HR Analyst - (1-2 Years ) (Fresh Graduate From Similar Field is Applicable),MYR 37K - MYR 54K (Employer est.),Hr Analyst,"Hiring Human Resouce Analyst with Experience / Fresh Graduate with Relevant Studies !!!
At least 1- 2 years of experience with the role
Job Description:
Regional MasterData support - handle data processing and documentation for all SEA countries (SG, MY, ID, PH, TH, VN & SZ)
Maintain data accuracy in HR system (Aliwork MasterData)
Preparing Monthly HR tickets reporting and PC KPI reporting
Supporting the establishment of HR Shared Services
Perform Ad Hoc assignments and provide support in assigned projects",QuessGlobal (Malaysia) Sdn Bhd,3.6,Kuala Lumpur,10000+ Employees,2007,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
DATA ANALYST,-1,Data Analyst,"Looking for a candidate who loves crunching numbers and data, and able to present them in an organized, understandable manner.
Requirements
Academic Qualifications: Bachelor’s Degree/Post Graduate Diploma/Professional Degree in Actuarial Science, Engineering, Mathematics, Quantity Survey, Finance/Accountancy or equivalent
Min Work Experience: 3 Years (s) of working experience in Data Analysis or Merchandising or related field. We will also consider fresh graduates if you meet our other criteria
Required Skills (s): Statistics, Data Analysis, Structured thinking, Mastery in Excel/Spreadsheets/Graphs, Organizational and Time Management Skills",D'YANA INTERNATIONAL,4.0,Malaysia,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Analyst,MYR 48K - MYR 96K (Employer est.),Data Analyst,"Responsibilities
Build clear visualizations in the form of reports and dashboards to convey complicated data to non-technical audience
Develop and enhance data models to support the visualizations and analysis required
Communicate actionable insights with e-commerce clients that align with their strategic goals
Qualifications
Bachelor's degree in Computer Science, Statistics, Applied Mathematics or equivalent experience
2 - 5 years' Business Intelligence and Consulting experiences preferred",Flow Analytics Sdn Bhd,-1,Kuala Lumpur,-1,-1,-1,-1,-1,-1
